p,n,sick_obs_percentage,actual_sd,mean_est_sd,rejected,actual_est_ratio
10,80,0.6,0.0207236462626694,0.0112828503741521,2,1.83673855235598
10,80,0.6,0.0290614905645935,0.0203743572962048,1,1.42637581849058
10,80,0.6,0.0224067964343095,0.0215830834566509,0,1.03816474968987
10,80,0.6,0.0231667522077203,0.0242239935360695,1,0.956355613834896
10,80,0.6,0.0176371708244438,0.0116497956812104,1,1.51394679418199
10,80,0.6,0.0260479040961469,0.016266254109669,1,1.60134619320028
10,80,0.6,0.021657971026812,0.0165535189712346,2,1.30836054040518
10,80,0.6,0.0314685983518107,0.0167395154189526,3,1.87989900329981
10,80,0.6,0.0255648294634933,0.0148336807827109,3,1.7234312803394
10,80,0.6,0.051928297706012,0.0333316353386914,1,1.55792829179712
